Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s)
2174.72,805.0,4.005,3.3960000000000004,4982.320000000064,5948.32,9212.38
2028.0,684.0,3.988,3.445,4472.436999999918,5408.44,8864.44
1512.0,445.7142857145519,3.906,3.563,2852.344000000506,3716.31,8180.31
1095.45,298.5454545449465,3.833,3.663,1686.851999999955,2348.35,7787.65
2040.0,715.2000000001863,3.995,3.435,4580.321000000462,5516.32,8864.32
1608.0,466.28571428544814,3.945,3.539,3154.7750000003725,4040.38,8072.38
1073.12,287.37662337720394,3.845,3.665,1618.0652857124805,2276.35,7612.99
853.31,197.0,3.745,3.731,1016.375,1592.38,7031.25
962.88,251.1999999992549,3.792,3.695,1331.3120000008494,1952.31,7256.38
972.0,265.5291098877788,3.818,3.699,1358.375,1988.38,7280.38
1475.66,381.0,3.857,3.61,2607.574999999255,3464.38,8259.91
1557.76,440.14285714272415,3.927,3.553,2984.344000001438,3860.34,8580.06
1257.44,346.4000000003725,3.886,3.631,2060.25,2852.25,7546.38
1813.44,496.0,3.928,3.527,3704.311999999918,4652.31,8594.09
944.81,252.9142857138068,3.813,3.706,1263.875,1880.38,7133.25
2259.91,914.3989999999758,4.049,3.3560000000000003,5223.359999999986,6196.35,9255.62
1440.0,401.1428571436554,3.92,3.588,2660.320000000298,3500.32,8036.32
1678.24,441.4285714281723,3.907,3.56,3284.351999999956,4184.35,8356.64
1163.11,312.3809523805976,3.866,3.648,1849.4718571454289,2564.33,7676.08
1889.5,600.8209999995306,3.979,3.483,4040.311999999918,4976.31,8648.06
1176.12,308.22857142984867,3.825,3.663,1790.3130000010133,2564.31,7513.75
1940.31,636.0319999996573,3.984,3.467,4184.313000000082,5120.31,8569.16
936.56,232.1904761902988,3.77,3.712,1196.3120000008494,1808.31,7196.56
1865.66,583.2000000001863,3.973,3.4930000000000003,3961.112999999896,4904.31,8742.69
2128.96,732.0,3.978,3.422,4789.119999999646,5732.32,9221.47
1606.06,459.8571428572759,3.943,3.544,3110.360000000336,4004.36,8019.17
